,Player,Team,2021-22 Salary
392,Malachi Flynn,TOR,"$2,048,040"
393,Cameron Thomas,BRK,"$2,036,280"
396,Desmond Bane,MEM,"$2,033,160"
397,Jaden Springer,PHI,"$2,023,800"
398,Day'Ron Sharpe,BRK,"$2,009,040"
399,Jeremiah Robinson-Earl,OKC,"$2,000,000"
400,Abdel Nader,PHO,"$2,000,000"
401,Théo Maledon,OKC,"$2,000,000"
402,Kenrich Williams,OKC,"$2,000,000"
403,Santi Aldama,MEM,"$1,994,520"
404,Damian Jones,SAC,"$1,977,011"
405,Rodney McGruder,DET,"$1,939,350"
406,DeAndre' Bembry,BRK,"$1,939,350"
407,Gary Payton II,GSW,"$1,939,350"
408,Timothé Luwawu-Cabarrot,ATL,"$1,939,350"
409,Damion Lee,GSW,"$1,910,860"
410,Larry Sanders,MIL,"$1,865,547"
411,Shake Milton,PHI,"$1,846,738"
412,Mitchell Robinson,NYK,"$1,802,057"
413,Jalen Brunson,DAL,"$1,802,057"
414,Semi Ojeleye,MIL,"$1,789,256"
415,Malik Monk,LAL,"$1,789,256"
418,Frank Ntilikina,DAL,"$1,789,256"
419,Tony Bradley,CHI,"$1,789,256"
420,Dennis Smith Jr.,POR,"$1,789,256"
421,Denzel Valentine,CLE,"$1,789,256"
422,Didi Louzada,NOP,"$1,786,878"
423,Daniel Gafford,WAS,"$1,782,621"
424,Terance Mann,LAC,"$1,782,621"
425,Eric Paschall,UTA,"$1,782,621"
426,KZ Okpala,MIA,"$1,782,621"
427,Cody Martin,CHO,"$1,782,621"
428,Nicolas Claxton,BRK,"$1,782,621"
429,Bruno Fernando,BOS,"$1,782,621"
430,Luguentz Dort,OKC,"$1,782,621"
431,Miye Oni,UTA,"$1,782,621"
432,Isaiah Roby,OKC,"$1,782,621"
433,Naz Reid,MIN,"$1,782,621"
434,Jaylen Nowell,MIN,"$1,782,621"
435,Vlatko Čančar,DEN,"$1,782,621"
436,Dean Wade,CLE,"$1,782,621"
